epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,18389.5,1.69394,1.40707,1.53031,1.67166,0.5461,0.56522,0.60277,0.42409,0.5461,0.56522,0.59754,0.182,1.64832,0.95271,2.08537,1.60226,0.000462259,0.000462259,0.000462259
75,18638.4,1.60087,1.28169,1.41598,1.66079,0.4892,0.6087,0.54978,0.33695,0.4892,0.6087,0.53278,0.17524,1.74106,0.9402,2.30575,1.66193,0.000445756,0.000445756,0.000445756
76,18889.3,1.61476,1.45292,1.47925,1.60815,0.54916,0.6087,0.58184,0.35205,0.54916,0.6087,0.57443,0.17613,1.69696,0.97295,2.05322,1.6248,0.000429253,0.000429253,0.000429253
77,19159.7,1.80235,1.42792,1.55912,1.8218,0.57555,0.73913,0.61166,0.36788,0.57555,0.73913,0.60613,0.18656,1.75545,0.97424,2.11115,1.69142,0.000412749,0.000412749,0.000412749
78,19409.5,1.71814,1.61765,1.5013,1.68599,0.59217,0.6087,0.67223,0.41476,0.59217,0.6087,0.65184,0.1994,1.67461,0.97841,2.52189,1.67191,0.000396246,0.000396246,0.000396246
79,19658.1,1.65637,1.38348,1.33267,1.67321,0.75386,0.52174,0.69079,0.43932,0.75386,0.52174,0.66061,0.20799,1.55175,0.98826,2.84962,1.56163,0.000379743,0.000379743,0.000379743
80,19912.2,1.81815,1.46266,1.54085,1.71233,0.67291,0.56522,0.63484,0.41235,0.67291,0.56522,0.63007,0.20503,1.71127,0.96416,2.24769,1.78939,0.000363239,0.000363239,0.000363239
81,20159,1.67584,1.49901,1.43418,1.62861,0.71863,0.66673,0.71998,0.44443,0.71863,0.66673,0.68594,0.19597,1.55915,0.94495,2.67289,1.54211,0.000346736,0.000346736,0.000346736
82,20405.7,1.49646,1.24213,1.25524,1.51334,0.71806,0.65217,0.71329,0.42508,0.71806,0.65217,0.68722,0.22374,1.60341,0.95341,2.25159,1.60737,0.000330233,0.000330233,0.000330233
83,20650.8,1.67135,1.32992,1.34991,1.6802,0.71347,0.56522,0.68729,0.43848,0.71347,0.56522,0.67129,0.20996,1.61895,0.98235,1.87118,1.61785,0.000313729,0.000313729,0.000313729
84,20900,1.71358,1.46744,1.50843,1.72815,0.62403,0.6087,0.66013,0.42665,0.62403,0.6087,0.64651,0.20023,1.73961,0.98888,1.85191,1.70897,0.000297226,0.000297226,0.000297226
85,21146.6,1.7729,1.54663,1.55917,1.60557,0.76073,0.56522,0.6709,0.42745,0.76073,0.56522,0.64914,0.19358,1.56654,0.96892,2.63288,1.48267,0.000280723,0.000280723,0.000280723
86,21394.6,1.74824,1.46411,1.44461,1.75497,0.69339,0.56522,0.67781,0.44822,0.69339,0.56522,0.65734,0.19287,1.62455,0.97924,2.13187,1.54706,0.00026422,0.00026422,0.00026422
87,21672.5,1.6865,1.41891,1.36152,1.6377,0.5204,0.56522,0.599,0.35535,0.5204,0.56522,0.5947,0.17684,1.86911,1.0012,2.14684,1.75435,0.000247716,0.000247716,0.000247716
88,21941.1,1.57887,1.28234,1.39631,1.68924,0.84526,0.47524,0.63821,0.39465,0.84526,0.47524,0.6257,0.19561,1.80509,0.9784,2.09311,1.69908,0.000231213,0.000231213,0.000231213
89,22186.8,1.5527,1.36714,1.32917,1.54475,0.66244,0.59768,0.67776,0.43473,0.66244,0.59768,0.66151,0.21539,1.6526,0.97149,2.13191,1.55068,0.00021471,0.00021471,0.00021471
90,22431.3,1.69986,1.44122,1.33987,1.65048,0.56901,0.69565,0.66622,0.42744,0.56901,0.69565,0.64603,0.20907,1.70414,0.97115,1.93769,1.61883,0.000198206,0.000198206,0.000198206
91,22677.7,1.59407,1.08102,1.52214,1.68187,0.5985,0.43478,0.48901,0.28027,0.5985,0.43478,0.48896,0.16829,2.26216,1.05157,2.19751,1.91875,0.000181703,0.000181703,0.000181703
92,22920,1.73167,1.1538,1.606,1.7634,0.86418,0.30435,0.38731,0.24471,0.86418,0.30435,0.38967,0.14273,2.54345,1.05424,2.47353,2.0941,0.0001652,0.0001652,0.0001652
93,23160.2,1.634,1.07419,1.35801,1.80191,0.53914,0.30435,0.33421,0.22138,0.53914,0.30435,0.33314,0.12341,2.57682,1.05787,2.49238,2.11333,0.000148696,0.000148696,0.000148696
94,23403.4,1.36231,0.96019,1.16988,1.58282,0.9615,0.30435,0.39206,0.2513,0.9615,0.30435,0.3906,0.14749,2.38215,1.03721,2.34044,1.99504,0.000132193,0.000132193,0.000132193
95,23651,1.55512,1.0526,1.2981,1.71239,0.85177,0.25106,0.2878,0.20476,0.85177,0.25106,0.29018,0.11696,2.93528,1.07344,2.95702,2.34662,0.00011569,0.00011569,0.00011569
96,23892.3,1.41768,1.10849,1.06227,1.55292,0.45539,0.47826,0.47418,0.32115,0.45539,0.47826,0.46713,0.16225,2.19589,0.99556,2.01095,1.86549,9.91865e-05,9.91865e-05,9.91865e-05
97,24133.1,1.50916,1.04629,1.22822,1.68295,0.91091,0.30435,0.45028,0.29138,0.91091,0.30435,0.44503,0.16301,2.26087,0.98741,2.07515,1.91974,8.26832e-05,8.26832e-05,8.26832e-05
98,24372,1.51093,1.1812,1.273,1.65484,0.86625,0.34783,0.45548,0.28536,0.86625,0.34783,0.44985,0.16651,2.24299,0.97141,2.20806,1.91044,6.61799e-05,6.61799e-05,6.61799e-05
99,24616.6,1.4525,1.00702,1.20462,1.56545,0.69931,0.52174,0.55476,0.3893,0.69931,0.52174,0.54827,0.18723,1.96244,0.95677,1.92133,1.77499,4.96766e-05,4.96766e-05,4.96766e-05
100,24857.7,1.47624,1.04142,1.16025,1.64768,0.53862,0.56522,0.5264,0.37379,0.53862,0.56522,0.51868,0.20606,1.97093,0.96315,2.08462,1.7816,3.31733e-05,3.31733e-05,3.31733e-05
